Date,Open,High,Low,Close,Adj Close,Volume
2003-09-17,1.3667,1.3704,1.3636,1.3667,1.3667,0
2003-09-18,1.366,1.3685,1.3597,1.3615,1.3615,0
2003-09-19,1.362,1.363,1.3457,1.3472,1.3472,0
2003-09-22,1.3413,1.3553,1.3365,1.3542,1.3542,0
2003-09-23,1.3549,1.3577,1.3458,1.3551,1.3551,0
2003-09-24,1.3548,1.3595,1.3483,1.3501,1.3501,0
2003-09-25,1.3505,1.3521,1.3451,1.3495,1.3495,0
2003-09-26,1.3493,1.3575,1.3483,1.3528,1.3528,0
2003-09-29,1.3535,1.3638,1.3498,1.3519,1.3519,0
2003-09-30,1.3522,1.3553,1.3424,1.3502,1.3502,0
2003-10-01,1.3497,1.3512,1.343,1.3451,1.3451,0
2003-10-02,1.3449,1.3513,1.3376,1.3402,1.3402,0
2003-10-03,1.3397,1.3482,1.3369,1.3431,1.3431,0
2003-10-06,1.3465,1.3482,1.3387,1.339,1.339,0
2003-10-07,1.3395,1.3416,1.3272,1.3312,1.3312,0
2003-10-08,1.3312,1.335,1.3254,1.3323,1.3323,0
2003-10-09,1.3322,1.3417,1.3279,1.3383,1.3383,0
2003-10-10,1.3384,1.3396,1.3184,1.3226,1.3226,0
2003-10-13,1.3192,1.326,1.318,1.3214,1.3214,0
2003-10-14,1.3222,1.3314,1.3205,1.3232,1.3232,0
2003-10-15,1.3212,1.3305,1.3212,1.3276,1.3276,0
2003-10-16,1.3276,1.3302,1.3122,1.3185,1.3185,0
2003-10-17,1.3184,1.3228,1.3113,1.3135,1.3135,0
2003-10-20,1.3155,1.3219,1.3136,1.3191,1.3191,0
2003-10-21,1.3192,1.325,1.313,1.3175,1.3175,0
2003-10-22,1.3176,1.3182,1.3019,1.3034,1.3034,0
2003-10-23,1.3035,1.3111,1.301,1.3056,1.3056,0
2003-10-24,1.3058,1.3084,1.3027,1.3059,1.3059,0
2003-10-27,1.3075,1.3132,1.3055,1.3109,1.3109,0
2003-10-28,1.3108,1.3166,1.3069,1.3099,1.3099,0
2003-10-29,1.3099,1.3128,1.3061,1.3119,1.3119,0
2003-10-30,1.3119,1.3151,1.3051,1.3148,1.3148,0
